company,location,industry
Realogy Holdings,"Madison, NJ",Real estate
Essendant,"Deerfield, IL",Wholesalers: Electronics and Office Equipment
Hanesbrands,"Winston-Salem, NC",Apparel
Kindred Healthcare,"Louisville, KY",Health Care: Medical Facilities
ARRIS Group,"Suwanee, GA",Network and Other Communications Equipment
Insight Enterprises,"Tempe, AZ",Wholesalers: Electronics and Office Equipment
Alliance Data Systems,"Plano, TX",Financial Data Services
LifePoint Health,"Brentwood, TN",Health Care: Medical Facilities
Pioneer Natural Resources,"Irving, TX","Mining, Crude-Oil Production"
Wyndham Worldwide,"Parsippany, NJ","Hotels, Casinos, Resorts"
